"全域・集中の別030002","時間軸(年次)","年齢各歳階級Ｂ030003","全国都道府県030001","男女Ａ030001","VALUE"
"全域","1980年"," ４３歳","千葉県","男女総数","73562"
"全域","1980年"," ４３歳","東京都","男女総数","172298"
"全域","1980年"," ４３歳","神奈川県","男女総数","107610"
"全域","1980年"," ４３歳","新潟県","男女総数","33964"
"全域","1980年"," ４３歳","富山県","男女総数","15222"
"全域","1980年"," ４３歳","石川県","男女総数","14167"
"全域","1980年"," ４３歳","福井県","男女総数","10807"
"全域","1980年"," ４３歳","山梨県","男女総数","10925"
"全域","1980年"," ４３歳","長野県","男女総数","28202"
"全域","1980年"," ４３歳","岐阜県","男女総数","28358"
"全域","1980年"," ４３歳","静岡県","男女総数","50696"
"全域","1980年"," ４３歳","愛知県","男女総数","92335"
"全域","1980年"," ４３歳","三重県","男女総数","24318"
"全域","1980年"," ４３歳","滋賀県","男女総数","14701"
"全域","1980年"," ４３歳","京都府","男女総数","35345"
"全域","1980年"," ４３歳","大阪府","男女総数","131969"
"全域","1980年"," ４３歳","兵庫県","男女総数","75211"
"全域","1980年"," ４３歳","奈良県","男女総数","17939"
"全域","1980年"," ４３歳","和歌山県","男女総数","15713"
"全域","1980年"," ４３歳","鳥取県","男女総数","8335"
"全域","1980年"," ４３歳","島根県","男女総数","11056"
"全域","1980年"," ４３歳","岡山県","男女総数","26720"
"全域","1980年"," ４３歳","広島県","男女総数","38707"
"全域","1980年"," ４３歳","山口県","男女総数","22863"
"全域","1980年"," ４３歳","徳島県","男女総数","12064"
"全域","1980年"," ４３歳","香川県","男女総数","13843"
"全域","1980年"," ４３歳","愛媛県","男女総数","21611"
"全域","1980年"," ４３歳","高知県","男女総数","11314"
"全域","1980年"," ４３歳","福岡県","男女総数","64992"
"全域","1980年"," ４３歳","佐賀県","男女総数","11507"
"全域","1980年"," ４３歳","長崎県","男女総数","21066"
"全域","1980年"," ４３歳","熊本県","男女総数","25114"
"全域","1980年"," ４３歳","大分県","男女総数","17575"
"全域","1980年"," ４３歳","宮崎県","男女総数","16383"
"全域","1980年"," ４３歳","鹿児島県","男女総数","23905"
"全域","1980年"," ４３歳","沖縄県","男女総数","14369"
"全域","1980年"," ４４歳","全国","男女総数","1725870"
"全域","1980年"," ４４歳","全国市部","男女総数","1332404"
"全域","1980年"," ４４歳","全国郡部","男女総数","393466"
"全域","1980年"," ４４歳","北海道","男女総数","80802"
"全域","1980年"," ４４歳","青森県","男女総数","22554"
"全域","1980年"," ４４歳","岩手県","男女総数","21665"
"全域","1980年"," ４４歳","宮城県","男女総数","29563"
"全域","1980年"," ４４歳","秋田県","男女総数","20099"
"全域","1980年"," ４４歳","山形県","男女総数","18385"
"全域","1980年"," ４４歳","福島県","男女総数","28415"
"全域","1980年"," ４４歳","茨城県","男女総数","35341"
"全域","1980年"," ４４歳","栃木県","男女総数","24408"
"全域","1980年"," ４４歳","群馬県","男女総数","25745"
"全域","1980年"," ４４歳","埼玉県","男女総数","84670"
"全域","1980年"," ４４歳","千葉県","男女総数","73336"
"全域","1980年"," ４４歳","東京都","男女総数","178349"
"全域","1980年"," ４４歳","神奈川県","男女総数","107590"
"全域","1980年"," ４４歳","新潟県","男女総数","36981"
"全域","1980年"," ４４歳","富山県","男女総数","17010"
"全域","1980年"," ４４歳","石川県","男女総数","15987"
"全域","1980年"," ４４歳","福井県","男女総数","11742"
"全域","1980年"," ４４歳","山梨県","男女総数","10810"
"全域","1980年"," ４４歳","長野県","男女総数","28478"
"全域","1980年"," ４４歳","岐阜県","男女総数","28504"
"全域","1980年"," ４４歳","静岡県","男女総数","50190"
"全域","1980年"," ４４歳","愛知県","男女総数","91466"
"全域","1980年"," ４４歳","三重県","男女総数","25354"
"全域","1980年"," ４４歳","滋賀県","男女総数","15131"
"全域","1980年"," ４４歳","京都府","男女総数","36741"
"全域","1980年"," ４４歳","大阪府","男女総数","133985"
"全域","1980年"," ４４歳","兵庫県","男女総数","77620"
"全域","1980年"," ４４歳","奈良県","男女総数","17942"
"全域","1980年"," ４４歳","和歌山県","男女総数","16106"
"全域","1980年"," ４４歳","鳥取県","男女総数","8785"
"全域","1980年"," ４４歳","島根県","男女総数","11586"
"全域","1980年"," ４４歳","岡山県","男女総数","27161"
"全域","1980年"," ４４歳","広島県","男女総数","39486"
"全域","1980年"," ４４歳","山口県","男女総数","23189"
"全域","1980年"," ４４歳","徳島県","男女総数","11717"
"全域","1980年"," ４４歳","香川県","男女総数","14454"
"全域","1980年"," ４４歳","愛媛県","男女総数","20750"
"全域","1980年"," ４４歳","高知県","男女総数","11544"
"全域","1980年"," ４４歳","福岡県","男女総数","63845"
"全域","1980年"," ４４歳","佐賀県","男女総数","11443"
"全域","1980年"," ４４歳","長崎県","男女総数","21215"
"全域","1980年"," ４４歳","熊本県","男女総数","24656"
"全域","1980年"," ４４歳","大分県","男女総数","16906"
"全域","1980年"," ４４歳","宮崎県","男女総数","15886"
"全域","1980年"," ４４歳","鹿児島県","男女総数","23443"
"全域","1980年"," ４４歳","沖縄県","男女総数","14835"
"全域","1980年"," ４５歳","全国","男女総数","1673819"
"全域","1980年"," ４５歳","全国市部","男女総数","1284521"
"全域","1980年"," ４５歳","全国郡部","男女総数","389298"
"全域","1980年"," ４５歳","北海道","男女総数","82881"
"全域","1980年"," ４５歳","青森県","男女総数","22782"
"全域","1980年"," ４５歳","岩手県","男女総数","21902"
"全域","1980年"," ４５歳","宮城県","男女総数","29611"
"全域","1980年"," ４５歳","秋田県","男女総数","19765"
"全域","1980年"," ４５歳","山形県","男女総数","18261"
"全域","1980年"," ４５歳","福島県","男女総数","28370"
"全域","1980年"," ４５歳","茨城県","男女総数","34200"
"全域","1980年"," ４５歳","栃木県","男女総数","24148"
"全域","1980年"," ４５歳","群馬県","男女総数","24560"
"全域","1980年"," ４５歳","埼玉県","男女総数","78986"
"全域","1980年"," ４５歳","千葉県","男女総数","69438"
"全域","1980年"," ４５歳","東京都","男女総数","173520"
"全域","1980年"," ４５歳","神奈川県","男女総数","103667"
"全域","1980年"," ４５歳","新潟県","男女総数","34048"
"全域","1980年"," ４５歳","富山県","男女総数","14995"
"全域","1980年"," ４５歳","石川県","男女総数","14043"
"全域","1980年"," ４５歳","福井県","男女総数","10541"
"全域","1980年"," ４５歳","山梨県","男女総数","10827"
"全域","1980年"," ４５歳","長野県","男女総数","28096"
"全域","1980年"," ４５歳","岐阜県","男女総数","27763"
"全域","1980年"," ４５歳","静岡県","男女総数","49457"
"全域","1980年"," ４５歳","愛知県","男女総数","87624"
"全域","1980年"," ４５歳","三重県","男女総数","24140"
"全域","1980年"," ４５歳","滋賀県","男女総数","13915"
"全域","1980年"," ４５歳","京都府","男女総数","33752"
"全域","1980年"," ４５歳","大阪府","男女総数","125713"
"全域","1980年"," ４５歳","兵庫県","男女総数","73570"
"全域","1980年"," ４５歳","奈良県","男女総数","17035"
"全域","1980年"," ４５歳","和歌山県","男女総数","15605"
"全域","1980年"," ４５歳","鳥取県","男女総数","8348"
"全域","1980年"," ４５歳","島根県","男女総数","11445"
"全域","1980年"," ４５歳","岡山県","男女総数","25769"
"全域","1980年"," ４５歳","広島県","男女総数","38329"
"全域","1980年"," ４５歳","山口県","男女総数","22961"
"全域","1980年"," ４５歳","徳島県","男女総数","11645"
"全域","1980年"," ４５歳","香川県","男女総数","13776"
"全域","1980年"," ４５歳","愛媛県","男女総数","20837"
"全域","1980年"," ４５歳","高知県","男女総数","11866"
"全域","1980年"," ４５歳","福岡県","男女総数","63059"
"全域","1980年"," ４５歳","佐賀県","男女総数","11783"
"全域","1980年"," ４５歳","長崎県","男女総数","22070"
"全域","1980年"," ４５歳","熊本県","男女総数","25162"
"全域","1980年"," ４５歳","大分県","男女総数","17511"
"全域","1980年"," ４５歳","宮崎県","男女総数","16806"
"全域","1980年"," ４５歳","鹿児島県","男女総数","25084"
"全域","1980年"," ４５歳","沖縄県","男女総数","14153"
"全域","1980年"," ４６歳","全国","男女総数","1607762"
"全域","1980年"," ４６歳","全国市部","男女総数","1219011"
"全域","1980年"," ４６歳","全国郡部","男女総数","388751"
"全域","1980年"," ４６歳","北海道","男女総数","79676"
"全域","1980年"," ４６歳","青森県","男女総数","22478"
"全域","1980年"," ４６歳","岩手県","男女総数","21334"
"全域","1980年"," ４６歳","宮城県","男女総数","28970"
"全域","1980年"," ４６歳","秋田県","男女総数","19276"
"全域","1980年"," ４６歳","山形県","男女総数","18197"
"全域","1980年"," ４６歳","福島県","男女総数","28710"
"全域","1980年"," ４６歳","茨城県","男女総数","32455"
"全域","1980年"," ４６歳","栃木県","男女総数","23445"
"全域","1980年"," ４６歳","群馬県","男女総数","24947"
"全域","1980年"," ４６歳","埼玉県","男女総数","71576"
"全域","1980年"," ４６歳","千葉県","男女総数","63330"
"全域","1980年"," ４６歳","東京都","男女総数","160780"
"全域","1980年"," ４６歳","神奈川県","男女総数","94678"
"全域","1980年"," ４６歳","新潟県","男女総数","33626"
"全域","1980年"," ４６歳","富山県","男女総数","15331"
"全域","1980年"," ４６歳","石川県","男女総数","14398"
"全域","1980年"," ４６歳","福井県","男女総数","10862"
"全域","1980年"," ４６歳","山梨県","男女総数","10552"
"全域","1980年"," ４６歳","長野県","男女総数","28282"
"全域","1980年"," ４６歳","岐阜県","男女総数","27272"
"全域","1980年"," ４６歳","静岡県","男女総数","48640"
"全域","1980年"," ４６歳","愛知県","男女総数","84404"
"全域","1980年"," ４６歳","三重県","男女総数","24146"
"全域","1980年"," ４６歳","滋賀県","男女総数","14064"
"全域","1980年"," ４６歳","京都府","男女総数","33542"
"全域","1980年"," ４６歳","大阪府","男女総数","116700"
"全域","1980年"," ４６歳","兵庫県","男女総数","69775"
"全域","1980年"," ４６歳","奈良県","男女総数","16108"
"全域","1980年"," ４６歳","和歌山県","男女総数","15263"
"全域","1980年"," ４６歳","鳥取県","男女総数","8581"
"全域","1980年"," ４６歳","島根県","男女総数","11670"
"全域","1980年"," ４６歳","岡山県","男女総数","24774"
"全域","1980年"," ４６歳","広島県","男女総数","36440"
"全域","1980年"," ４６歳","山口県","男女総数","22902"
"全域","1980年"," ４６歳","徳島県","男女総数","12153"
"全域","1980年"," ４６歳","香川県","男女総数","13469"
"全域","1980年"," ４６歳","愛媛県","男女総数","20605"
"全域","1980年"," ４６歳","高知県","男女総数","11621"
"全域","1980年"," ４６歳","福岡県","男女総数","62117"
"全域","1980年"," ４６歳","佐賀県","男女総数","11723"
"全域","1980年"," ４６歳","長崎県","男女総数","21837"
"全域","1980年"," ４６歳","熊本県","男女総数","25119"
"全域","1980年"," ４６歳","大分県","男女総数","17529"
"全域","1980年"," ４６歳","宮崎県","男女総数","16085"
"全域","1980年"," ４６歳","鹿児島県","男女総数","24332"
"全域","1980年"," ４６歳","沖縄県","男女総数","13988"
"全域","1980年"," ４７歳","全国","男女総数","1631191"
"全域","1980年"," ４７歳","全国市部","男女総数","1230331"
"全域","1980年"," ４７歳","全国郡部","男女総数","400860"
"全域","1980年"," ４７歳","北海道","男女総数","79062"
"全域","1980年"," ４７歳","青森県","男女総数","22752"
"全域","1980年"," ４７歳","岩手県","男女総数","21631"
"全域","1980年"," ４７歳","宮城県","男女総数","29220"
"全域","1980年"," ４７歳","秋田県","男女総数","20425"
"全域","1980年"," ４７歳","山形県","男女総数","19202"
"全域","1980年"," ４７歳","福島県","男女総数","29175"
"全域","1980年"," ４７歳","茨城県","男女総数","32896"
"全域","1980年"," ４７歳","栃木県","男女総数","23645"
"全域","1980年"," ４７歳","群馬県","男女総数","24576"
"全域","1980年"," ４７歳","埼玉県","男女総数","69713"
"全域","1980年"," ４７歳","千葉県","男女総数","62887"
"全域","1980年"," ４７歳","東京都","男女総数","163074"
"全域","1980年"," ４７歳","神奈川県","男女総数","95151"
"全域","1980年"," ４７歳","新潟県","男女総数","36168"
"全域","1980年"," ４７歳","富山県","男女総数","16504"
"全域","1980年"," ４７歳","石川県","男女総数","15250"
"全域","1980年"," ４７歳","福井県","男女総数","11501"
"全域","1980年"," ４７歳","山梨県","男女総数","10991"
"全域","1980年"," ４７歳","長野県","男女総数","29732"
"全域","1980年"," ４７歳","岐阜県","男女総数","27256"
"全域","1980年"," ４７歳","静岡県","男女総数","47052"
"全域","1980年"," ４７歳","愛知県","男女総数","81458"
"全域","1980年"," ４７歳","三重県","男女総数","24344"
"全域","1980年"," ４７歳","滋賀県","男女総数","13967"
"全域","1980年"," ４７歳","京都府","男女総数","33014"
"全域","1980年"," ４７歳","大阪府","男女総数","117393"
"全域","1980年"," ４７歳","兵庫県","男女総数","72805"
"全域","1980年"," ４７歳","奈良県","男女総数","16163"
"全域","1980年"," ４７歳","和歌山県","男女総数","16351"
"全域","1980年"," ４７歳","鳥取県","男女総数","8640"
"全域","1980年"," ４７歳","島根県","男女総数","12017"
"全域","1980年"," ４７歳","岡山県","男女総数","27146"
"全域","1980年"," ４７歳","広島県","男女総数","37125"
"全域","1980年"," ４７歳","山口県","男女総数","23547"
"全域","1980年"," ４７歳","徳島県","男女総数","12751"
"全域","1980年"," ４７歳","香川県","男女総数","15022"
"全域","1980年"," ４７歳","愛媛県","男女総数","21690"
"全域","1980年"," ４７歳","高知県","男女総数","12586"
"全域","1980年"," ４７歳","福岡県","男女総数","62272"
"全域","1980年"," ４７歳","佐賀県","男女総数","12076"
"全域","1980年"," ４７歳","長崎県","男女総数","21935"
"全域","1980年"," ４７歳","熊本県","男女総数","26063"
"全域","1980年"," ４７歳","大分県","男女総数","18043"
"全域","1980年"," ４７歳","宮崎県","男女総数","16922"
"全域","1980年"," ４７歳","鹿児島県","男女総数","26054"
"全域","1980年"," ４７歳","沖縄県","男女総数","13944"
"全域","1980年"," ４８歳","全国","男女総数","1604343"
"全域","1980年"," ４８歳","全国市部","男女総数","1200057"
"全域","1980年"," ４８歳","全国郡部","男女総数","404286"
"全域","1980年"," ４８歳","北海道","男女総数","77213"
"全域","1980年"," ４８歳","青森県","男女総数","21777"
"全域","1980年"," ４８歳","岩手県","男女総数","21915"
"全域","1980年"," ４８歳","宮城県","男女総数","29097"
"全域","1980年"," ４８歳","秋田県","男女総数","19753"
"全域","1980年"," ４８歳","山形県","男女総数","18788"
"全域","1980年"," ４８歳","福島県","男女総数","30048"
"全域","1980年"," ４８歳","茨城県","男女総数","33088"
"全域","1980年"," ４８歳","栃木県","男女総数","23755"
"全域","1980年"," ４８歳","群馬県","男女総数","24958"
"全域","1980年"," ４８歳","埼玉県","男女総数","65300"
"全域","1980年"," ４８歳","千葉県","男女総数","59720"
"全域","1980年"," ４８歳","東京都","男女総数","156179"
"全域","1980年"," ４８歳","神奈川県","男女総数","90112"
"全域","1980年"," ４８歳","新潟県","男女総数","35665"
"全域","1980年"," ４８歳","富山県","男女総数","15679"
"全域","1980年"," ４８歳","石川県","男女総数","14528"
"全域","1980年"," ４８歳","福井県","男女総数","11458"
"全域","1980年"," ４８歳","山梨県","男女総数","11196"
"全域","1980年"," ４８歳","長野県","男女総数","30087"
"全域","1980年"," ４８歳","岐阜県","男女総数","27322"
"全域","1980年"," ４８歳","静岡県","男女総数","47432"
"全域","1980年"," ４８歳","愛知県","男女総数","79908"
"全域","1980年"," ４８歳","三重県","男女総数","23866"
"全域","1980年"," ４８歳","滋賀県","男女総数","14467"
"全域","1980年"," ４８歳","京都府","男女総数","33377"
"全域","1980年"," ４８歳","大阪府","男女総数","114017"
"全域","1980年"," ４８歳","兵庫県","男女総数","72026"
"全域","1980年"," ４８歳","奈良県","男女総数","16045"
"全域","1980年"," ４８歳","和歌山県","男女総数","15997"
"全域","1980年"," ４８歳","鳥取県","男女総数","9017"
"全域","1980年"," ４８歳","島根県","男女総数","12546"
"全域","1980年"," ４８歳","岡山県","男女総数","27380"
"全域","1980年"," ４８歳","広島県","男女総数","36931"
"全域","1980年"," ４８歳","山口県","男女総数","23958"
"全域","1980年"," ４８歳","徳島県","男女総数","12626"
"全域","1980年"," ４８歳","香川県","男女総数","14610"
"全域","1980年"," ４８歳","愛媛県","男女総数","21742"
"全域","1980年"," ４８歳","高知県","男女総数","12326"
"全域","1980年"," ４８歳","福岡県","男女総数","64053"
"全域","1980年"," ４８歳","佐賀県","男女総数","12142"
"全域","1980年"," ４８歳","長崎県","男女総数","22812"
"全域","1980年"," ４８歳","熊本県","男女総数","26082"
"全域","1980年"," ４８歳","大分県","男女総数","17794"
"全域","1980年"," ４８歳","宮崎県","男女総数","16454"
"全域","1980年"," ４８歳","鹿児島県","男女総数","26251"
"全域","1980年"," ４８歳","沖縄県","男女総数","12846"
"全域","1980年"," ４９歳","全国","男女総数","1573272"
"全域","1980年"," ４９歳","全国市部","男女総数","1165703"
"全域","1980年"," ４９歳","全国郡部","男女総数","407569"
"全域","1980年"," ４９歳","北海道","男女総数","76220"
"全域","1980年"," ４９歳","青森県","男女総数","21745"
"全域","1980年"," ４９歳","岩手県","男女総数","21388"
"全域","1980年"," ４９歳","宮城県","男女総数","28778"
"全域","1980年"," ４９歳","秋田県","男女総数","20492"
"全域","1980年"," ４９歳","山形県","男女総数","19701"
"全域","1980年"," ４９歳","福島県","男女総数","29958"
"全域","1980年"," ４９歳","茨城県","男女総数","32815"
"全域","1980年"," ４９歳","栃木県","男女総数","23845"
"全域","1980年"," ４９歳","群馬県","男女総数","25316"
"全域","1980年"," ４９歳","埼玉県","男女総数","62896"
"全域","1980年"," ４９歳","千葉県","男女総数","57939"
"全域","1980年"," ４９歳","東京都","男女総数","149975"
"全域","1980年"," ４９歳","神奈川県","男女総数","87131"
"全域","1980年"," ４９歳","新潟県","男女総数","36432"
"全域","1980年"," ４９歳","富山県","男女総数","16196"
"全域","1980年"," ４９歳","石川県","男女総数","15324"
"全域","1980年"," ４９歳","福井県","男女総数","11677"
"全域","1980年"," ４９歳","山梨県","男女総数","11286"
"全域","1980年"," ４９歳","長野県","男女総数","30107"
"全域","1980年"," ４９歳","岐阜県","男女総数","26763"
"全域","1980年"," ４９歳","静岡県","男女総数","47032"
"全域","1980年"," ４９歳","愛知県","男女総数","77376"
"全域","1980年"," ４９歳","三重県","男女総数","24075"
"全域","1980年"," ４９歳","滋賀県","男女総数","14372"
"全域","1980年"," ４９歳","京都府","男女総数","31911"
"全域","1980年"," ４９歳","大阪府","男女総数","107663"
"全域","1980年"," ４９歳","兵庫県","男女総数","70163"
"全域","1980年"," ４９歳","奈良県","男女総数","15796"
"全域","1980年"," ４９歳","和歌山県","男女総数","15767"
"全域","1980年"," ４９歳","鳥取県","男女総数","9106"
"全域","1980年"," ４９歳","島根県","男女総数","12318"
"全域","1980年"," ４９歳","岡山県","男女総数","27759"
"全域","1980年"," ４９歳","広島県","男女総数","36571"
"全域","1980年"," ４９歳","山口県","男女総数","23606"
"全域","1980年"," ４９歳","徳島県","男女総数","12346"
"全域","1980年"," ４９歳","香川県","男女総数","14790"
"全域","1980年"," ４９歳","愛媛県","男女総数","21863"
"全域","1980年"," ４９歳","高知県","男女総数","12438"
"全域","1980年"," ４９歳","福岡県","男女総数","61049"
"全域","1980年"," ４９歳","佐賀県","男女総数","11945"
"全域","1980年"," ４９歳","長崎県","男女総数","21482"
"全域","1980年"," ４９歳","熊本県","男女総数","25852"
"全域","1980年"," ４９歳","大分県","男女総数","18343"
"全域","1980年"," ４９歳","宮崎県","男女総数","16338"
"全域","1980年"," ４９歳","鹿児島県","男女総数","25532"
"全域","1980年"," ４９歳","沖縄県","男女総数","11795"
"全域","1980年"," ５０歳","全国","男女総数","1508650"
"全域","1980年"," ５０歳","全国市部","男女総数","1107729"
"全域","1980年"," ５０歳","全国郡部","男女総数","400921"
"全域","1980年"," ５０歳","北海道","男女総数","75394"
"全域","1980年"," ５０歳","青森県","男女総数","20613"
"全域","1980年"," ５０歳","岩手県","男女総数","21436"
"全域","1980年"," ５０歳","宮城県","男女総数","27722"
"全域","1980年"," ５０歳","秋田県","男女総数","20220"
"全域","1980年"," ５０歳","山形県","男女総数","19813"
"全域","1980年"," ５０歳","福島県","男女総数","29026"
"全域","1980年"," ５０歳","茨城県","男女総数","32212"
"全域","1980年"," ５０歳","栃木県","男女総数","23646"
"全域","1980年"," ５０歳","群馬県","男女総数","24397"
"全域","1980年"," ５０歳","埼玉県","男女総数","58036"
"全域","1980年"," ５０歳","千葉県","男女総数","54161"
"全域","1980年"," ５０歳","東京都","男女総数","143086"
"全域","1980年"," ５０歳","神奈川県","男女総数","82747"
"全域","1980年"," ５０歳","新潟県","男女総数","34515"
"全域","1980年"," ５０歳","富山県","男女総数","15177"
"全域","1980年"," ５０歳","石川県","男女総数","14186"
"全域","1980年"," ５０歳","福井県","男女総数","11024"
"全域","1980年"," ５０歳","山梨県","男女総数","11134"
"全域","1980年"," ５０歳","長野県","男女総数","30194"
"全域","1980年"," ５０歳","岐阜県","男女総数","26656"
"全域","1980年"," ５０歳","静岡県","男女総数","45288"
"全域","1980年"," ５０歳","愛知県","男女総数","73209"
"全域","1980年"," ５０歳","三重県","男女総数","24159"
"全域","1980年"," ５０歳","滋賀県","男女総数","13713"
"全域","1980年"," ５０歳","京都府","男女総数","30062"
"全域","1980年"," ５０歳","大阪府","男女総数","100020"
"全域","1980年"," ５０歳","兵庫県","男女総数","65174"
"全域","1980年"," ５０歳","奈良県","男女総数","14765"
"全域","1980年"," ５０歳","和歌山県","男女総数","15224"
"全域","1980年"," ５０歳","鳥取県","男女総数","8794"
"全域","1980年"," ５０歳","島根県","男女総数","11664"
"全域","1980年"," ５０歳","岡山県","男女総数","25070"
"全域","1980年"," ５０歳","広島県","男女総数","34714"
"全域","1980年"," ５０歳","山口県","男女総数","22061"
"全域","1980年"," ５０歳","徳島県","男女総数","12278"
"全域","1980年"," ５０歳","香川県","男女総数","13715"
"全域","1980年"," ５０歳","愛媛県","男女総数","21153"
"全域","1980年"," ５０歳","高知県","男女総数","12554"
"全域","1980年"," ５０歳","福岡県","男女総数","57313"
"全域","1980年"," ５０歳","佐賀県","男女総数","11836"
"全域","1980年"," ５０歳","長崎県","男女総数","21880"
"全域","1980年"," ５０歳","熊本県","男女総数","25458"
"全域","1980年"," ５０歳","大分県","男女総数","17701"
"全域","1980年"," ５０歳","宮崎県","男女総数","16296"
"全域","1980年"," ５０歳","鹿児島県","男女総数","26598"
"全域","1980年"," ５０歳","沖縄県","男女総数","12556"
"全域","1980年"," ５１歳","全国","男女総数","1477871"
"全域","1980年"," ５１歳","全国市部","男女総数","1078893"
"全域","1980年"," ５１歳","全国郡部","男女総数","398978"
"全域","1980年"," ５１歳","北海道","男女総数","70433"
"全域","1980年"," ５１歳","青森県","男女総数","19304"
"全域","1980年"," ５１歳","岩手県","男女総数","20844"
"全域","1980年"," ５１歳","宮城県","男女総数","28132"
"全域","1980年"," ５１歳","秋田県","男女総数","18942"
"全域","1980年"," ５１歳","山形県","男女総数","18978"
"全域","1980年"," ５１歳","福島県","男女総数","29649"
"全域","1980年"," ５１歳","茨城県","男女総数","31884"
"全域","1980年"," ５１歳","栃木県","男女総数","23189"
"全域","1980年"," ５１歳","群馬県","男女総数","24292"
"全域","1980年"," ５１歳","埼玉県","男女総数","54562"
"全域","1980年"," ５１歳","千葉県","男女総数","50865"
"全域","1980年"," ５１歳","東京都","男女総数","135843"
"全域","1980年"," ５１歳","神奈川県","男女総数","78326"
"全域","1980年"," ５１歳","新潟県","男女総数","34971"
"全域","1980年"," ５１歳","富山県","男女総数","15546"
"全域","1980年"," ５１歳","石川県","男女総数","14456"
"全域","1980年"," ５１歳","福井県","男女総数","11417"
"全域","1980年"," ５１歳","山梨県","男女総数","10994"
"全域","1980年"," ５１歳","長野県","男女総数","30009"
"全域","1980年"," ５１歳","岐阜県","男女総数","25888"
"全域","1980年"," ５１歳","静岡県","男女総数","42779"
"全域","1980年"," ５１歳","愛知県","男女総数","70309"
"全域","1980年"," ５１歳","三重県","男女総数","23180"
"全域","1980年"," ５１歳","滋賀県","男女総数","13597"
"全域","1980年"," ５１歳","京都府","男女総数","30231"
"全域","1980年"," ５１歳","大阪府","男女総数","97995"
"全域","1980年"," ５１歳","兵庫県","男女総数","65773"
"全域","1980年"," ５１歳","奈良県","男女総数","14825"
"全域","1980年"," ５１歳","和歌山県","男女総数","15329"
"全域","1980年"," ５１歳","鳥取県","男女総数","8985"
"全域","1980年"," ５１歳","島根県","男女総数","12362"
"全域","1980年"," ５１歳","岡山県","男女総数","25952"
"全域","1980年"," ５１歳","広島県","男女総数","36190"
"全域","1980年"," ５１歳","山口県","男女総数","22954"
"全域","1980年"," ５１歳","徳島県","男女総数","12509"
"全域","1980年"," ５１歳","香川県","男女総数","14333"
"全域","1980年"," ５１歳","愛媛県","男女総数","21751"
"全域","1980年"," ５１歳","高知県","男女総数","12431"
"全域","1980年"," ５１歳","福岡県","男女総数","59144"
"全域","1980年"," ５１歳","佐賀県","男女総数","12082"
"全域","1980年"," ５１歳","長崎県","男女総数","21360"
"全域","1980年"," ５１歳","熊本県","男女総数","24773"
"全域","1980年"," ５１歳","大分県","男女総数","17512"
"全域","1980年"," ５１歳","宮崎県","男女総数","15972"
"全域","1980年"," ５１歳","鹿児島県","男女総数","25697"
"全域","1980年"," ５１歳","沖縄県","男女総数","11322"
"全域","1980年"," ５２歳","全国","男女総数","1441194"
"全域","1980年"," ５２歳","全国市部","男女総数","1047355"
"全域","1980年"," ５２歳","全国郡部","男女総数","393839"
"全域","1980年"," ５２歳","北海道","男女総数","70410"
"全域","1980年"," ５２歳","青森県","男女総数","20501"
"全域","1980年"," ５２歳","岩手県","男女総数","20238"
"全域","1980年"," ５２歳","宮城県","男女総数","26341"
"全域","1980年"," ５２歳","秋田県","男女総数","19706"
"全域","1980年"," ５２歳","山形県","男女総数","19467"
"全域","1980年"," ５２歳","福島県","男女総数","28832"
"全域","1980年"," ５２歳","茨城県","男女総数","31211"
"全域","1980年"," ５２歳","栃木県","男女総数","22893"
"全域","1980年"," ５２歳","群馬県","男女総数","23502"
"全域","1980年"," ５２歳","埼玉県","男女総数","52893"
"全域","1980年"," ５２歳","千葉県","男女総数","49046"
"全域","1980年"," ５２歳","東京都","男女総数","133056"
"全域","1980年"," ５２歳","神奈川県","男女総数","75450"
"全域","1980年"," ５２歳","新潟県","男女総数","34860"
"全域","1980年"," ５２歳","富山県","男女総数","14907"
"全域","1980年"," ５２歳","石川県","男女総数","14026"
"全域","1980年"," ５２歳","福井県","男女総数","11091"
"全域","1980年"," ５２歳","山梨県","男女総数","10841"
"全域","1980年"," ５２歳","長野県","男女総数","29603"
"全域","1980年"," ５２歳","岐阜県","男女総数","25009"
"全域","1980年"," ５２歳","静岡県","男女総数","43904"
"全域","1980年"," ５２歳","愛知県","男女総数","67677"
"全域","1980年"," ５２歳","三重県","男女総数","22490"
"全域","1980年"," ５２歳","滋賀県","男女総数","13623"
"全域","1980年"," ５２歳","京都府","男女総数","29503"
"全域","1980年"," ５２歳","大阪府","男女総数","93617"
"全域","1980年"," ５２歳","兵庫県","男女総数","63372"
"全域","1980年"," ５２歳","奈良県","男女総数","14450"
"全域","1980年"," ５２歳","和歌山県","男女総数","15171"
"全域","1980年"," ５２歳","鳥取県","男女総数","8421"
"全域","1980年"," ５２歳","島根県","男女総数","11843"
"全域","1980年"," ５２歳","岡山県","男女総数","24962"
"全域","1980年"," ５２歳","広島県","男女総数","34406"
"全域","1980年"," ５２歳","山口県","男女総数","22105"
"全域","1980年"," ５２歳","徳島県","男女総数","11985"
"全域","1980年"," ５２歳","香川県","男女総数","13885"
"全域","1980年"," ５２歳","愛媛県","男女総数","21047"
"全域","1980年"," ５２歳","高知県","男女総数","12258"
"全域","1980年"," ５２歳","福岡県","男女総数","56285"
"全域","1980年"," ５２歳","佐賀県","男女総数","11578"
"全域","1980年"," ５２歳","長崎県","男女総数","20767"
