"全域・集中の別030002","時間軸(年次)","年齢各歳階級Ｂ030003","全国都道府県030001","男女Ａ030001","VALUE"
"全域","1980年"," １歳","全国郡部","男女総数","377851"
"全域","1980年"," １歳","北海道","男女総数","78858"
"全域","1980年"," １歳","青森県","男女総数","21833"
"全域","1980年"," １歳","岩手県","男女総数","19789"
"全域","1980年"," １歳","宮城県","男女総数","31578"
"全域","1980年"," １歳","秋田県","男女総数","16842"
"全域","1980年"," １歳","山形県","男女総数","17113"
"全域","1980年"," １歳","福島県","男女総数","29822"
"全域","1980年"," １歳","茨城県","男女総数","37815"
"全域","1980年"," １歳","栃木県","男女総数","26917"
"全域","1980年"," １歳","群馬県","男女総数","26523"
"全域","1980年"," １歳","埼玉県","男女総数","82180"
"全域","1980年"," １歳","千葉県","男女総数","71945"
"全域","1980年"," １歳","東京都","男女総数","139093"
"全域","1980年"," １歳","神奈川県","男女総数","99271"
"全域","1980年"," １歳","新潟県","男女総数","33993"
"全域","1980年"," １歳","富山県","男女総数","14411"
"全域","1980年"," １歳","石川県","男女総数","15924"
"全域","1980年"," １歳","福井県","男女総数","10974"
"全域","1980年"," １歳","山梨県","男女総数","10473"
"全域","1980年"," １歳","長野県","男女総数","28110"
"全域","1980年"," １歳","岐阜県","男女総数","27208"
"全域","1980年"," １歳","静岡県","男女総数","49760"
"全域","1980年"," １歳","愛知県","男女総数","91283"
"全域","1980年"," １歳","三重県","男女総数","22210"
"全域","1980年"," １歳","滋賀県","男女総数","16539"
"全域","1980年"," １歳","京都府","男女総数","33947"
"全域","1980年"," １歳","大阪府","男女総数","116394"
"全域","1980年"," １歳","兵庫県","男女総数","71792"
"全域","1980年"," １歳","奈良県","男女総数","16485"
"全域","1980年"," １歳","和歌山県","男女総数","13678"
"全域","1980年"," １歳","鳥取県","男女総数","8255"
"全域","1980年"," １歳","島根県","男女総数","10145"
"全域","1980年"," １歳","岡山県","男女総数","24878"
"全域","1980年"," １歳","広島県","男女総数","37893"
"全域","1980年"," １歳","山口県","男女総数","20703"
"全域","1980年"," １歳","徳島県","男女総数","10689"
"全域","1980年"," １歳","香川県","男女総数","13464"
"全域","1980年"," １歳","愛媛県","男女総数","20137"
"全域","1980年"," １歳","高知県","男女総数","10404"
"全域","1980年"," １歳","福岡県","男女総数","66519"
"全域","1980年"," １歳","佐賀県","男女総数","12795"
"全域","1980年"," １歳","長崎県","男女総数","23377"
"全域","1980年"," １歳","熊本県","男女総数","24740"
"全域","1980年"," １歳","大分県","男女総数","16864"
"全域","1980年"," １歳","宮崎県","男女総数","17581"
"全域","1980年"," １歳","鹿児島県","男女総数","24836"
"全域","1980年"," １歳","沖縄県","男女総数","20195"
"全域","1980年"," ２歳","全国","男女総数","1706055"
"全域","1980年"," ２歳","全国市部","男女総数","1310089"
"全域","1980年"," ２歳","全国郡部","男女総数","395966"
"全域","1980年"," ２歳","北海道","男女総数","82288"
"全域","1980年"," ２歳","青森県","男女総数","22394"
"全域","1980年"," ２歳","岩手県","男女総数","20814"
"全域","1980年"," ２歳","宮城県","男女総数","31923"
"全域","1980年"," ２歳","秋田県","男女総数","17189"
"全域","1980年"," ２歳","山形県","男女総数","17597"
"全域","1980年"," ２歳","福島県","男女総数","30726"
"全域","1980年"," ２歳","茨城県","男女総数","40094"
"全域","1980年"," ２歳","栃木県","男女総数","27620"
"全域","1980年"," ２歳","群馬県","男女総数","27690"
"全域","1980年"," ２歳","埼玉県","男女総数","87538"
"全域","1980年"," ２歳","千葉県","男女総数","75437"
"全域","1980年"," ２歳","東京都","男女総数","143455"
"全域","1980年"," ２歳","神奈川県","男女総数","103166"
"全域","1980年"," ２歳","新潟県","男女総数","35487"
"全域","1980年"," ２歳","富山県","男女総数","15307"
"全域","1980年"," ２歳","石川県","男女総数","16624"
"全域","1980年"," ２歳","福井県","男女総数","11437"
"全域","1980年"," ２歳","山梨県","男女総数","11077"
"全域","1980年"," ２歳","長野県","男女総数","30088"
"全域","1980年"," ２歳","岐阜県","男女総数","28727"
"全域","1980年"," ２歳","静岡県","男女総数","52229"
"全域","1980年"," ２歳","愛知県","男女総数","95351"
"全域","1980年"," ２歳","三重県","男女総数","23299"
"全域","1980年"," ２歳","滋賀県","男女総数","17732"
"全域","1980年"," ２歳","京都府","男女総数","36054"
"全域","1980年"," ２歳","大阪府","男女総数","122380"
"全域","1980年"," ２歳","兵庫県","男女総数","75164"
"全域","1980年"," ２歳","奈良県","男女総数","17996"
"全域","1980年"," ２歳","和歌山県","男女総数","14813"
"全域","1980年"," ２歳","鳥取県","男女総数","8551"
"全域","1980年"," ２歳","島根県","男女総数","10612"
"全域","1980年"," ２歳","岡山県","男女総数","26243"
"全域","1980年"," ２歳","広島県","男女総数","40409"
"全域","1980年"," ２歳","山口県","男女総数","21385"
"全域","1980年"," ２歳","徳島県","男女総数","10946"
"全域","1980年"," ２歳","香川県","男女総数","13985"
"全域","1980年"," ２歳","愛媛県","男女総数","21179"
"全域","1980年"," ２歳","高知県","男女総数","10866"
"全域","1980年"," ２歳","福岡県","男女総数","67999"
"全域","1980年"," ２歳","佐賀県","男女総数","12658"
"全域","1980年"," ２歳","長崎県","男女総数","23514"
"全域","1980年"," ２歳","熊本県","男女総数","25063"
"全域","1980年"," ２歳","大分県","男女総数","17502"
"全域","1980年"," ２歳","宮崎県","男女総数","17809"
"全域","1980年"," ２歳","鹿児島県","男女総数","25238"
"全域","1980年"," ２歳","沖縄県","男女総数","20400"
"全域","1980年"," ３歳","全国","男女総数","1749163"
"全域","1980年"," ３歳","全国市部","男女総数","1341603"
"全域","1980年"," ３歳","全国郡部","男女総数","407560"
"全域","1980年"," ３歳","北海道","男女総数","83023"
"全域","1980年"," ３歳","青森県","男女総数","22930"
"全域","1980年"," ３歳","岩手県","男女総数","20952"
"全域","1980年"," ３歳","宮城県","男女総数","32415"
"全域","1980年"," ３歳","秋田県","男女総数","17237"
"全域","1980年"," ３歳","山形県","男女総数","17606"
"全域","1980年"," ３歳","福島県","男女総数","31287"
"全域","1980年"," ３歳","茨城県","男女総数","40650"
"全域","1980年"," ３歳","栃木県","男女総数","28693"
"全域","1980年"," ３歳","群馬県","男女総数","28250"
"全域","1980年"," ３歳","埼玉県","男女総数","90463"
"全域","1980年"," ３歳","千葉県","男女総数","77708"
"全域","1980年"," ３歳","東京都","男女総数","143600"
"全域","1980年"," ３歳","神奈川県","男女総数","107129"
"全域","1980年"," ３歳","新潟県","男女総数","36461"
"全域","1980年"," ３歳","富山県","男女総数","16005"
"全域","1980年"," ３歳","石川県","男女総数","17293"
"全域","1980年"," ３歳","福井県","男女総数","11705"
"全域","1980年"," ３歳","山梨県","男女総数","11361"
"全域","1980年"," ３歳","長野県","男女総数","30254"
"全域","1980年"," ３歳","岐阜県","男女総数","29376"
"全域","1980年"," ３歳","静岡県","男女総数","53146"
"全域","1980年"," ３歳","愛知県","男女総数","98380"
"全域","1980年"," ３歳","三重県","男女総数","24218"
"全域","1980年"," ３歳","滋賀県","男女総数","17826"
"全域","1980年"," ３歳","京都府","男女総数","36639"
"全域","1980年"," ３歳","大阪府","男女総数","126716"
"全域","1980年"," ３歳","兵庫県","男女総数","77972"
"全域","1980年"," ３歳","奈良県","男女総数","18485"
"全域","1980年"," ３歳","和歌山県","男女総数","14906"
"全域","1980年"," ３歳","鳥取県","男女総数","8755"
"全域","1980年"," ３歳","島根県","男女総数","10972"
"全域","1980年"," ３歳","岡山県","男女総数","27228"
"全域","1980年"," ３歳","広島県","男女総数","41468"
"全域","1980年"," ３歳","山口県","男女総数","22767"
"全域","1980年"," ３歳","徳島県","男女総数","11099"
"全域","1980年"," ３歳","香川県","男女総数","14752"
"全域","1980年"," ３歳","愛媛県","男女総数","22059"
"全域","1980年"," ３歳","高知県","男女総数","11412"
"全域","1980年"," ３歳","福岡県","男女総数","68978"
"全域","1980年"," ３歳","佐賀県","男女総数","13164"
"全域","1980年"," ３歳","長崎県","男女総数","24042"
"全域","1980年"," ３歳","熊本県","男女総数","25733"
"全域","1980年"," ３歳","大分県","男女総数","18091"
"全域","1980年"," ３歳","宮崎県","男女総数","18566"
"全域","1980年"," ３歳","鹿児島県","男女総数","25678"
"全域","1980年"," ３歳","沖縄県","男女総数","21713"
"全域","1980年"," ４歳","全国","男女総数","1837459"
"全域","1980年"," ４歳","全国市部","男女総数","1411366"
"全域","1980年"," ４歳","全国郡部","男女総数","426093"
"全域","1980年"," ４歳","北海道","男女総数","87146"
"全域","1980年"," ４歳","青森県","男女総数","23598"
"全域","1980年"," ４歳","岩手県","男女総数","21888"
"全域","1980年"," ４歳","宮城県","男女総数","33226"
"全域","1980年"," ４歳","秋田県","男女総数","17965"
"全域","1980年"," ４歳","山形県","男女総数","18030"
"全域","1980年"," ４歳","福島県","男女総数","32115"
"全域","1980年"," ４歳","茨城県","男女総数","42452"
"全域","1980年"," ４歳","栃木県","男女総数","29803"
"全域","1980年"," ４歳","群馬県","男女総数","30068"
"全域","1980年"," ４歳","埼玉県","男女総数","97207"
"全域","1980年"," ４歳","千葉県","男女総数","82636"
"全域","1980年"," ４歳","東京都","男女総数","150864"
"全域","1980年"," ４歳","神奈川県","男女総数","112390"
"全域","1980年"," ４歳","新潟県","男女総数","37902"
"全域","1980年"," ４歳","富山県","男女総数","17032"
"全域","1980年"," ４歳","石川県","男女総数","18340"
"全域","1980年"," ４歳","福井県","男女総数","12390"
"全域","1980年"," ４歳","山梨県","男女総数","12021"
"全域","1980年"," ４歳","長野県","男女総数","31806"
"全域","1980年"," ４歳","岐阜県","男女総数","31409"
"全域","1980年"," ４歳","静岡県","男女総数","56391"
"全域","1980年"," ４歳","愛知県","男女総数","103747"
"全域","1980年"," ４歳","三重県","男女総数","25736"
"全域","1980年"," ４歳","滋賀県","男女総数","18497"
"全域","1980年"," ４歳","京都府","男女総数","38920"
"全域","1980年"," ４歳","大阪府","男女総数","134135"
"全域","1980年"," ４歳","兵庫県","男女総数","81496"
"全域","1980年"," ４歳","奈良県","男女総数","19509"
"全域","1980年"," ４歳","和歌山県","男女総数","16033"
"全域","1980年"," ４歳","鳥取県","男女総数","9034"
"全域","1980年"," ４歳","島根県","男女総数","11329"
"全域","1980年"," ４歳","岡山県","男女総数","29131"
"全域","1980年"," ４歳","広島県","男女総数","44321"
"全域","1980年"," ４歳","山口県","男女総数","23669"
"全域","1980年"," ４歳","徳島県","男女総数","11792"
"全域","1980年"," ４歳","香川県","男女総数","15431"
"全域","1980年"," ４歳","愛媛県","男女総数","22987"
"全域","1980年"," ４歳","高知県","男女総数","12047"
"全域","1980年"," ４歳","福岡県","男女総数","71747"
"全域","1980年"," ４歳","佐賀県","男女総数","13323"
"全域","1980年"," ４歳","長崎県","男女総数","25077"
"全域","1980年"," ４歳","熊本県","男女総数","26646"
"全域","1980年"," ４歳","大分県","男女総数","19067"
"全域","1980年"," ４歳","宮崎県","男女総数","19116"
"全域","1980年"," ４歳","鹿児島県","男女総数","26112"
"全域","1980年"," ４歳","沖縄県","男女総数","21878"
"全域","1980年"," ５歳","全国","男女総数","1927082"
"全域","1980年"," ５歳","全国市部","男女総数","1482914"
"全域","1980年"," ５歳","全国郡部","男女総数","444168"
"全域","1980年"," ５歳","北海道","男女総数","91705"
"全域","1980年"," ５歳","青森県","男女総数","24607"
"全域","1980年"," ５歳","岩手県","男女総数","22662"
"全域","1980年"," ５歳","宮城県","男女総数","33778"
"全域","1980年"," ５歳","秋田県","男女総数","18040"
"全域","1980年"," ５歳","山形県","男女総数","18081"
"全域","1980年"," ５歳","福島県","男女総数","32776"
"全域","1980年"," ５歳","茨城県","男女総数","44796"
"全域","1980年"," ５歳","栃木県","男女総数","30993"
"全域","1980年"," ５歳","群馬県","男女総数","30792"
"全域","1980年"," ５歳","埼玉県","男女総数","103776"
"全域","1980年"," ５歳","千葉県","男女総数","86898"
"全域","1980年"," ５歳","東京都","男女総数","159789"
