"全域・集中の別030002","時間軸(年次)","年齢５歳階級Ａ030002","全国都道府県030001","男女Ａ030001","VALUE"
"全域","1980年","７０－７４歳","大阪府","男女総数","179954"
"全域","1980年","７０－７４歳","兵庫県","男女総数","135564"
"全域","1980年","７０－７４歳","奈良県","男女総数","32641"
"全域","1980年","７０－７４歳","和歌山県","男女総数","36809"
"全域","1980年","７０－７４歳","鳥取県","男女総数","20730"
"全域","1980年","７０－７４歳","島根県","男女総数","29092"
"全域","1980年","７０－７４歳","岡山県","男女総数","62325"
"全域","1980年","７０－７４歳","広島県","男女総数","77094"
"全域","1980年","７０－７４歳","山口県","男女総数","51253"
"全域","1980年","７０－７４歳","徳島県","男女総数","28111"
"全域","1980年","７０－７４歳","香川県","男女総数","33414"
"全域","1980年","７０－７４歳","愛媛県","男女総数","49028"
"全域","1980年","７０－７４歳","高知県","男女総数","29120"
"全域","1980年","７０－７４歳","福岡県","男女総数","119900"
"全域","1980年","７０－７４歳","佐賀県","男女総数","28954"
"全域","1980年","７０－７４歳","長崎県","男女総数","48349"
"全域","1980年","７０－７４歳","熊本県","男女総数","59086"
"全域","1980年","７０－７４歳","大分県","男女総数","40214"
"全域","1980年","７０－７４歳","宮崎県","男女総数","33327"
"全域","1980年","７０－７４歳","鹿児島県","男女総数","62951"
"全域","1980年","７０－７４歳","沖縄県","男女総数","22603"
"全域","1980年","７５－７９歳","全国","男女総数","2036685"
"全域","1980年","７５－７９歳","全国市部","男女総数","1378413"
"全域","1980年","７５－７９歳","全国郡部","男女総数","658272"
"全域","1980年","７５－７９歳","北海道","男女総数","83791"
"全域","1980年","７５－７９歳","青森県","男女総数","25245"
"全域","1980年","７５－７９歳","岩手県","男女総数","27439"
"全域","1980年","７５－７９歳","宮城県","男女総数","33795"
"全域","1980年","７５－７９歳","秋田県","男女総数","25215"
"全域","1980年","７５－７９歳","山形県","男女総数","29174"
"全域","1980年","７５－７９歳","福島県","男女総数","41342"
"全域","1980年","７５－７９歳","茨城県","男女総数","44172"
"全域","1980年","７５－７９歳","栃木県","男女総数","32106"
"全域","1980年","７５－７９歳","群馬県","男女総数","36346"
"全域","1980年","７５－７９歳","埼玉県","男女総数","60315"
"全域","1980年","７５－７９歳","千葉県","男女総数","62443"
"全域","1980年","７５－７９歳","東京都","男女総数","168857"
"全域","1980年","７５－７９歳","神奈川県","男女総数","80521"
"全域","1980年","７５－７９歳","新潟県","男女総数","52119"
"全域","1980年","７５－７９歳","富山県","男女総数","23457"
"全域","1980年","７５－７９歳","石川県","男女総数","22382"
"全域","1980年","７５－７９歳","福井県","男女総数","17974"
"全域","1980年","７５－７９歳","山梨県","男女総数","18349"
"全域","1980年","７５－７９歳","長野県","男女総数","50633"
"全域","1980年","７５－７９歳","岐阜県","男女総数","36929"
"全域","1980年","７５－７９歳","静岡県","男女総数","59737"
"全域","1980年","７５－７９歳","愛知県","男女総数","85623"
"全域","1980年","７５－７９歳","三重県","男女総数","37463"
"全域","1980年","７５－７９歳","滋賀県","男女総数","20979"
"全域","1980年","７５－７９歳","京都府","男女総数","50098"
"全域","1980年","７５－７９歳","大阪府","男女総数","113905"
"全域","1980年","７５－７９歳","兵庫県","男女総数","91032"
"全域","1980年","７５－７９歳","奈良県","男女総数","21701"
"全域","1980年","７５－７９歳","和歌山県","男女総数","25349"
"全域","1980年","７５－７９歳","鳥取県","男女総数","14589"
"全域","1980年","７５－７９歳","島根県","男女総数","21625"
"全域","1980年","７５－７９歳","岡山県","男女総数","45046"
"全域","1980年","７５－７９歳","広島県","男女総数","53247"
"全域","1980年","７５－７９歳","山口県","男女総数","35615"
"全域","1980年","７５－７９歳","徳島県","男女総数","19737"
"全域","1980年","７５－７９歳","香川県","男女総数","23104"
"全域","1980年","７５－７９歳","愛媛県","男女総数","34383"
"全域","1980年","７５－７９歳","高知県","男女総数","22464"
"全域","1980年","７５－７９歳","福岡県","男女総数","81037"
"全域","1980年","７５－７９歳","佐賀県","男女総数","20382"
"全域","1980年","７５－７９歳","長崎県","男女総数","33249"
"全域","1980年","７５－７９歳","熊本県","男女総数","40987"
"全域","1980年","７５－７９歳","大分県","男女総数","28182"
"全域","1980年","７５－７９歳","宮崎県","男女総数","23713"
"全域","1980年","７５－７９歳","鹿児島県","男女総数","44273"
"全域","1980年","７５－７９歳","沖縄県","男女総数","16561"
"全域","1980年","８０－８４歳","全国","男女総数","1093643"
"全域","1980年","８０－８４歳","全国市部","男女総数","722973"
"全域","1980年","８０－８４歳","全国郡部","男女総数","370670"
"全域","1980年","８０－８４歳","北海道","男女総数","42863"
"全域","1980年","８０－８４歳","青森県","男女総数","12780"
"全域","1980年","８０－８４歳","岩手県","男女総数","14047"
"全域","1980年","８０－８４歳","宮城県","男女総数","17620"
"全域","1980年","８０－８４歳","秋田県","男女総数","12621"
"全域","1980年","８０－８４歳","山形県","男女総数","14148"
"全域","1980年","８０－８４歳","福島県","男女総数","21448"
"全域","1980年","８０－８４歳","茨城県","男女総数","23893"
"全域","1980年","８０－８４歳","栃木県","男女総数","16698"
"全域","1980年","８０－８４歳","群馬県","男女総数","18428"
"全域","1980年","８０－８４歳","埼玉県","男女総数","30266"
"全域","1980年","８０－８４歳","千葉県","男女総数","33372"
"全域","1980年","８０－８４歳","東京都","男女総数","87975"
"全域","1980年","８０－８４歳","神奈川県","男女総数","41459"
"全域","1980年","８０－８４歳","新潟県","男女総数","25138"
"全域","1980年","８０－８４歳","富山県","男女総数","11392"
"全域","1980年","８０－８４歳","石川県","男女総数","11122"
"全域","1980年","８０－８４歳","福井県","男女総数","9497"
"全域","1980年","８０－８４歳","山梨県","男女総数","9565"
"全域","1980年","８０－８４歳","長野県","男女総数","26735"
"全域","1980年","８０－８４歳","岐阜県","男女総数","19420"
"全域","1980年","８０－８４歳","静岡県","男女総数","33138"
"全域","1980年","８０－８４歳","愛知県","男女総数","43751"
"全域","1980年","８０－８４歳","三重県","男女総数","20036"
"全域","1980年","８０－８４歳","滋賀県","男女総数","11039"
"全域","1980年","８０－８４歳","京都府","男女総数","26768"
"全域","1980年","８０－８４歳","大阪府","男女総数","56561"
"全域","1980年","８０－８４歳","兵庫県","男女総数","48860"
"全域","1980年","８０－８４歳","奈良県","男女総数","11501"
"全域","1980年","８０－８４歳","和歌山県","男女総数","14040"
"全域","1980年","８０－８４歳","鳥取県","男女総数","8613"
"全域","1980年","８０－８４歳","島根県","男女総数","13047"
"全域","1980年","８０－８４歳","岡山県","男女総数","26291"
"全域","1980年","８０－８４歳","広島県","男女総数","31738"
"全域","1980年","８０－８４歳","山口県","男女総数","20601"
"全域","1980年","８０－８４歳","徳島県","男女総数","10979"
"全域","1980年","８０－８４歳","香川県","男女総数","13518"
"全域","1980年","８０－８４歳","愛媛県","男女総数","20421"
"全域","1980年","８０－８４歳","高知県","男女総数","14144"
"全域","1980年","８０－８４歳","福岡県","男女総数","46222"
"全域","1980年","８０－８４歳","佐賀県","男女総数","11659"
"全域","1980年","８０－８４歳","長崎県","男女総数","19052"
"全域","1980年","８０－８４歳","熊本県","男女総数","25288"
"全域","1980年","８０－８４歳","大分県","男女総数","16587"
"全域","1980年","８０－８４歳","宮崎県","男女総数","13587"
"全域","1980年","８０－８４歳","鹿児島県","男女総数","25372"
"全域","1980年","８０－８４歳","沖縄県","男女総数","10343"
"全域","1980年","８５－８９歳","全国","男女総数","409990"
"全域","1980年","８５－８９歳","全国市部","男女総数","264587"
"全域","1980年","８５－８９歳","全国郡部","男女総数","145403"
"全域","1980年","８５－８９歳","北海道","男女総数","15459"
"全域","1980年","８５－８９歳","青森県","男女総数","4614"
"全域","1980年","８５－８９歳","岩手県","男女総数","5296"
"全域","1980年","８５－８９歳","宮城県","男女総数","7046"
"全域","1980年","８５－８９歳","秋田県","男女総数","4213"
"全域","1980年","８５－８９歳","山形県","男女総数","4996"
"全域","1980年","８５－８９歳","福島県","男女総数","8381"
"全域","1980年","８５－８９歳","茨城県","男女総数","9120"
"全域","1980年","８５－８９歳","栃木県","男女総数","6198"
"全域","1980年","８５－８９歳","群馬県","男女総数","6667"
"全域","1980年","８５－８９歳","埼玉県","男女総数","10624"
"全域","1980年","８５－８９歳","千葉県","男女総数","11694"
"全域","1980年","８５－８９歳","東京都","男女総数","31601"
"全域","1980年","８５－８９歳","神奈川県","男女総数","14941"
"全域","1980年","８５－８９歳","新潟県","男女総数","9654"
"全域","1980年","８５－８９歳","富山県","男女総数","4083"
"全域","1980年","８５－８９歳","石川県","男女総数","4197"
"全域","1980年","８５－８９歳","福井県","男女総数","3805"
"全域","1980年","８５－８９歳","山梨県","男女総数","3919"
"全域","1980年","８５－８９歳","長野県","男女総数","9682"
"全域","1980年","８５－８９歳","岐阜県","男女総数","7408"
"全域","1980年","８５－８９歳","静岡県","男女総数","13125"
"全域","1980年","８５－８９歳","愛知県","男女総数","16177"
"全域","1980年","８５－８９歳","三重県","男女総数","7599"
"全域","1980年","８５－８９歳","滋賀県","男女総数","4132"
"全域","1980年","８５－８９歳","京都府","男女総数","9595"
"全域","1980年","８５－８９歳","大阪府","男女総数","18980"
"全域","1980年","８５－８９歳","兵庫県","男女総数","17708"
"全域","1980年","８５－８９歳","奈良県","男女総数","4292"
"全域","1980年","８５－８９歳","和歌山県","男女総数","5132"
"全域","1980年","８５－８９歳","鳥取県","男女総数","3297"
"全域","1980年","８５－８９歳","島根県","男女総数","5339"
"全域","1980年","８５－８９歳","岡山県","男女総数","9728"
"全域","1980年","８５－８９歳","広島県","男女総数","12365"
"全域","1980年","８５－８９歳","山口県","男女総数","8148"
"全域","1980年","８５－８９歳","徳島県","男女総数","3938"
"全域","1980年","８５－８９歳","香川県","男女総数","5153"
"全域","1980年","８５－８９歳","愛媛県","男女総数","8074"
"全域","1980年","８５－８９歳","高知県","男女総数","5510"
"全域","1980年","８５－８９歳","福岡県","男女総数","17712"
"全域","1980年","８５－８９歳","佐賀県","男女総数","4616"
"全域","1980年","８５－８９歳","長崎県","男女総数","7239"
"全域","1980年","８５－８９歳","熊本県","男女総数","10208"
"全域","1980年","８５－８９歳","大分県","男女総数","6445"
"全域","1980年","８５－８９歳","宮崎県","男女総数","5413"
"全域","1980年","８５－８９歳","鹿児島県","男女総数","10782"
"全域","1980年","８５－８９歳","沖縄県","男女総数","5685"
"全域","1980年","９０－９４歳","全国","男女総数","105047"
"全域","1980年","９０－９４歳","全国市部","男女総数","66697"
"全域","1980年","９０－９４歳","全国郡部","男女総数","38350"
"全域","1980年","９０－９４歳","北海道","男女総数","3982"
"全域","1980年","９０－９４歳","青森県","男女総数","1030"
"全域","1980年","９０－９４歳","岩手県","男女総数","1269"
"全域","1980年","９０－９４歳","宮城県","男女総数","1798"
"全域","1980年","９０－９４歳","秋田県","男女総数","837"
"全域","1980年","９０－９４歳","山形県","男女総数","1127"
"全域","1980年","９０－９４歳","福島県","男女総数","2057"
"全域","1980年","９０－９４歳","茨城県","男女総数","2342"
"全域","1980年","９０－９４歳","栃木県","男女総数","1561"
"全域","1980年","９０－９４歳","群馬県","男女総数","1604"
"全域","1980年","９０－９４歳","埼玉県","男女総数","2556"
"全域","1980年","９０－９４歳","千葉県","男女総数","3165"
"全域","1980年","９０－９４歳","東京都","男女総数","7897"
"全域","1980年","９０－９４歳","神奈川県","男女総数","3863"
"全域","1980年","９０－９４歳","新潟県","男女総数","2378"
"全域","1980年","９０－９４歳","富山県","男女総数","1070"
"全域","1980年","９０－９４歳","石川県","男女総数","1077"
"全域","1980年","９０－９４歳","福井県","男女総数","872"
"全域","1980年","９０－９４歳","山梨県","男女総数","1174"
"全域","1980年","９０－９４歳","長野県","男女総数","2454"
"全域","1980年","９０－９４歳","岐阜県","男女総数","1875"
"全域","1980年","９０－９４歳","静岡県","男女総数","3446"
"全域","1980年","９０－９４歳","愛知県","男女総数","3971"
"全域","1980年","９０－９４歳","三重県","男女総数","1942"
"全域","1980年","９０－９４歳","滋賀県","男女総数","1068"
"全域","1980年","９０－９４歳","京都府","男女総数","2387"
"全域","1980年","９０－９４歳","大阪府","男女総数","4345"
"全域","1980年","９０－９４歳","兵庫県","男女総数","4523"
"全域","1980年","９０－９４歳","奈良県","男女総数","1108"
"全域","1980年","９０－９４歳","和歌山県","男女総数","1295"
"全域","1980年","９０－９４歳","鳥取県","男女総数","960"
"全域","1980年","９０－９４歳","島根県","男女総数","1476"
"全域","1980年","９０－９４歳","岡山県","男女総数","2575"
"全域","1980年","９０－９４歳","広島県","男女総数","3479"
"全域","1980年","９０－９４歳","山口県","男女総数","2057"
"全域","1980年","９０－９４歳","徳島県","男女総数","1216"
"全域","1980年","９０－９４歳","香川県","男女総数","1447"
"全域","1980年","９０－９４歳","愛媛県","男女総数","2259"
"全域","1980年","９０－９４歳","高知県","男女総数","1645"
"全域","1980年","９０－９４歳","福岡県","男女総数","4383"
"全域","1980年","９０－９４歳","佐賀県","男女総数","1142"
"全域","1980年","９０－９４歳","長崎県","男女総数","1815"
"全域","1980年","９０－９４歳","熊本県","男女総数","2533"
"全域","1980年","９０－９４歳","大分県","男女総数","1632"
"全域","1980年","９０－９４歳","宮崎県","男女総数","1286"
"全域","1980年","９０－９４歳","鹿児島県","男女総数","3094"
"全域","1980年","９０－９４歳","沖縄県","男女総数","1975"
"全域","1980年","９５－９９歳","全国","男女総数","13344"
"全域","1980年","９５－９９歳","全国市部","男女総数","8401"
"全域","1980年","９５－９９歳","全国郡部","男女総数","4943"
"全域","1980年","９５－９９歳","北海道","男女総数","536"
"全域","1980年","９５－９９歳","青森県","男女総数","147"
"全域","1980年","９５－９９歳","岩手県","男女総数","150"
"全域","1980年","９５－９９歳","宮城県","男女総数","212"
"全域","1980年","９５－９９歳","秋田県","男女総数","82"
"全域","1980年","９５－９９歳","山形県","男女総数","110"
"全域","1980年","９５－９９歳","福島県","男女総数","224"
"全域","1980年","９５－９９歳","茨城県","男女総数","241"
"全域","1980年","９５－９９歳","栃木県","男女総数","155"
"全域","1980年","９５－９９歳","群馬県","男女総数","222"
"全域","1980年","９５－９９歳","埼玉県","男女総数","266"
"全域","1980年","９５－９９歳","千葉県","男女総数","347"
"全域","1980年","９５－９９歳","東京都","男女総数","956"
"全域","1980年","９５－９９歳","神奈川県","男女総数","481"
"全域","1980年","９５－９９歳","新潟県","男女総数","296"
"全域","1980年","９５－９９歳","富山県","男女総数","147"
"全域","1980年","９５－９９歳","石川県","男女総数","151"
"全域","1980年","９５－９９歳","福井県","男女総数","106"
"全域","1980年","９５－９９歳","山梨県","男女総数","158"
"全域","1980年","９５－９９歳","長野県","男女総数","263"
"全域","1980年","９５－９９歳","岐阜県","男女総数","227"
"全域","1980年","９５－９９歳","静岡県","男女総数","392"
"全域","1980年","９５－９９歳","愛知県","男女総数","524"
"全域","1980年","９５－９９歳","三重県","男女総数","262"
"全域","1980年","９５－９９歳","滋賀県","男女総数","125"
"全域","1980年","９５－９９歳","京都府","男女総数","300"
"全域","1980年","９５－９９歳","大阪府","男女総数","489"
"全域","1980年","９５－９９歳","兵庫県","男女総数","532"
"全域","1980年","９５－９９歳","奈良県","男女総数","143"
"全域","1980年","９５－９９歳","和歌山県","男女総数","180"
"全域","1980年","９５－９９歳","鳥取県","男女総数","142"
"全域","1980年","９５－９９歳","島根県","男女総数","233"
"全域","1980年","９５－９９歳","岡山県","男女総数","344"
"全域","1980年","９５－９９歳","広島県","男女総数","481"
"全域","1980年","９５－９９歳","山口県","男女総数","262"
"全域","1980年","９５－９９歳","徳島県","男女総数","169"
"全域","1980年","９５－９９歳","香川県","男女総数","206"
"全域","1980年","９５－９９歳","愛媛県","男女総数","370"
"全域","1980年","９５－９９歳","高知県","男女総数","204"
"全域","1980年","９５－９９歳","福岡県","男女総数","601"
"全域","1980年","９５－９９歳","佐賀県","男女総数","157"
"全域","1980年","９５－９９歳","長崎県","男女総数","217"
"全域","1980年","９５－９９歳","熊本県","男女総数","338"
"全域","1980年","９５－９９歳","大分県","男女総数","201"
"全域","1980年","９５－９９歳","宮崎県","男女総数","152"
"全域","1980年","９５－９９歳","鹿児島県","男女総数","470"
"全域","1980年","９５－９９歳","沖縄県","男女総数","373"
"全域","1980年","１００歳以上","全国","男女総数","989"
"全域","1980年","１００歳以上","全国市部","男女総数","595"
"全域","1980年","１００歳以上","全国郡部","男女総数","394"
"全域","1980年","１００歳以上","北海道","男女総数","45"
"全域","1980年","１００歳以上","青森県","男女総数","5"
"全域","1980年","１００歳以上","岩手県","男女総数","3"
"全域","1980年","１００歳以上","宮城県","男女総数","18"
"全域","1980年","１００歳以上","秋田県","男女総数","6"
"全域","1980年","１００歳以上","山形県","男女総数","6"
"全域","1980年","１００歳以上","福島県","男女総数","10"
"全域","1980年","１００歳以上","茨城県","男女総数","21"
"全域","1980年","１００歳以上","栃木県","男女総数","8"
"全域","1980年","１００歳以上","群馬県","男女総数","12"
"全域","1980年","１００歳以上","埼玉県","男女総数","9"
"全域","1980年","１００歳以上","千葉県","男女総数","27"
"全域","1980年","１００歳以上","東京都","男女総数","76"
"全域","1980年","１００歳以上","神奈川県","男女総数","32"
"全域","1980年","１００歳以上","新潟県","男女総数","18"
"全域","1980年","１００歳以上","富山県","男女総数","10"
"全域","1980年","１００歳以上","石川県","男女総数","12"
"全域","1980年","１００歳以上","福井県","男女総数","8"
"全域","1980年","１００歳以上","山梨県","男女総数","9"
"全域","1980年","１００歳以上","長野県","男女総数","24"
"全域","1980年","１００歳以上","岐阜県","男女総数","9"
"全域","1980年","１００歳以上","静岡県","男女総数","31"
"全域","1980年","１００歳以上","愛知県","男女総数","35"
"全域","1980年","１００歳以上","三重県","男女総数","15"
"全域","1980年","１００歳以上","滋賀県","男女総数","10"
"全域","1980年","１００歳以上","京都府","男女総数","19"
"全域","1980年","１００歳以上","大阪府","男女総数","36"
"全域","1980年","１００歳以上","兵庫県","男女総数","42"
"全域","1980年","１００歳以上","奈良県","男女総数","5"
"全域","1980年","１００歳以上","和歌山県","男女総数","15"
"全域","1980年","１００歳以上","鳥取県","男女総数","10"
"全域","1980年","１００歳以上","島根県","男女総数","9"
"全域","1980年","１００歳以上","岡山県","男女総数","29"
"全域","1980年","１００歳以上","広島県","男女総数","50"
"全域","1980年","１００歳以上","山口県","男女総数","16"
"全域","1980年","１００歳以上","徳島県","男女総数","13"
"全域","1980年","１００歳以上","香川県","男女総数","18"
"全域","1980年","１００歳以上","愛媛県","男女総数","28"
"全域","1980年","１００歳以上","高知県","男女総数","12"
"全域","1980年","１００歳以上","福岡県","男女総数","47"
"全域","1980年","１００歳以上","佐賀県","男女総数","13"
"全域","1980年","１００歳以上","長崎県","男女総数","22"
"全域","1980年","１００歳以上","熊本県","男女総数","34"
"全域","1980年","１００歳以上","大分県","男女総数","15"
"全域","1980年","１００歳以上","宮崎県","男女総数","16"
"全域","1980年","１００歳以上","鹿児島県","男女総数","42"
"全域","1980年","１００歳以上","沖縄県","男女総数","39"
"全域","1980年","年齢不詳","全国","男女総数","71363"
"全域","1980年","年齢不詳","全国市部","男女総数","69617"
"全域","1980年","年齢不詳","全国郡部","男女総数","1746"
"全域","1980年","年齢不詳","北海道","男女総数","2130"
"全域","1980年","年齢不詳","青森県","男女総数","151"
"全域","1980年","年齢不詳","岩手県","男女総数","125"
"全域","1980年","年齢不詳","宮城県","男女総数","1582"
"全域","1980年","年齢不詳","秋田県","男女総数","81"
"全域","1980年","年齢不詳","山形県","男女総数","8"
"全域","1980年","年齢不詳","福島県","男女総数","127"
"全域","1980年","年齢不詳","茨城県","男女総数","607"
"全域","1980年","年齢不詳","栃木県","男女総数","422"
"全域","1980年","年齢不詳","群馬県","男女総数","73"
"全域","1980年","年齢不詳","埼玉県","男女総数","3635"
"全域","1980年","年齢不詳","千葉県","男女総数","4222"
"全域","1980年","年齢不詳","東京都","男女総数","21070"
"全域","1980年","年齢不詳","神奈川県","男女総数","5695"
"全域","1980年","年齢不詳","新潟県","男女総数","396"
"全域","1980年","年齢不詳","富山県","男女総数","18"
"全域","1980年","年齢不詳","石川県","男女総数","658"
"全域","1980年","年齢不詳","福井県","男女総数","77"
"全域","1980年","年齢不詳","山梨県","男女総数","181"
"全域","1980年","年齢不詳","長野県","男女総数","9"
"全域","1980年","年齢不詳","岐阜県","男女総数","91"
"全域","1980年","年齢不詳","静岡県","男女総数","255"
"全域","1980年","年齢不詳","愛知県","男女総数","1761"
"全域","1980年","年齢不詳","三重県","男女総数","136"
"全域","1980年","年齢不詳","滋賀県","男女総数","101"
"全域","1980年","年齢不詳","京都府","男女総数","363"
"全域","1980年","年齢不詳","大阪府","男女総数","9202"
"全域","1980年","年齢不詳","兵庫県","男女総数","7387"
"全域","1980年","年齢不詳","奈良県","男女総数","818"
"全域","1980年","年齢不詳","和歌山県","男女総数","405"
"全域","1980年","年齢不詳","鳥取県","男女総数","172"
"全域","1980年","年齢不詳","島根県","男女総数","68"
"全域","1980年","年齢不詳","岡山県","男女総数","228"
"全域","1980年","年齢不詳","広島県","男女総数","1010"
"全域","1980年","年齢不詳","山口県","男女総数","378"
"全域","1980年","年齢不詳","徳島県","男女総数","283"
"全域","1980年","年齢不詳","香川県","男女総数","298"
"全域","1980年","年齢不詳","愛媛県","男女総数","245"
"全域","1980年","年齢不詳","高知県","男女総数","730"
"全域","1980年","年齢不詳","福岡県","男女総数","4135"
"全域","1980年","年齢不詳","佐賀県","男女総数","48"
"全域","1980年","年齢不詳","長崎県","男女総数","333"
"全域","1980年","年齢不詳","熊本県","男女総数","171"
"全域","1980年","年齢不詳","大分県","男女総数","153"
"全域","1980年","年齢不詳","宮崎県","男女総数","109"
"全域","1980年","年齢不詳","鹿児島県","男女総数","43"
"全域","1980年","年齢不詳","沖縄県","男女総数","1173"
"全域","1980年","総数","全国","男","57593769"
"全域","1980年","総数","全国市部","男","44026960"
"全域","1980年","総数","全国郡部","男","13566809"
"全域","1980年","総数","北海道","男","2737089"
"全域","1980年","総数","青森県","男","735444"
"全域","1980年","総数","岩手県","男","688460"
"全域","1980年","総数","宮城県","男","1025903"
"全域","1980年","総数","秋田県","男","603403"
"全域","1980年","総数","山形県","男","605407"
"全域","1980年","総数","福島県","男","990575"
"全域","1980年","総数","茨城県","男","1272533"
"全域","1980年","総数","栃木県","男","885573"
"全域","1980年","総数","群馬県","男","908871"
"全域","1980年","総数","埼玉県","男","2739175"
"全域","1980年","総数","千葉県","男","2383157"
"全域","1980年","総数","東京都","男","5856280"
"全域","1980年","総数","神奈川県","男","3536021"
"全域","1980年","総数","新潟県","男","1193653"
"全域","1980年","総数","富山県","男","532686"
"全域","1980年","総数","石川県","男","542782"
"全域","1980年","総数","福井県","男","384269"
"全域","1980年","総数","山梨県","男","391649"
"全域","1980年","総数","長野県","男","1008885"
"全域","1980年","総数","岐阜県","男","954018"
"全域","1980年","総数","静岡県","男","1695778"
"全域","1980年","総数","愛知県","男","3112306"
"全域","1980年","総数","三重県","男","817578"
"全域","1980年","総数","滋賀県","男","529208"
"全域","1980年","総数","京都府","男","1238365"
"全域","1980年","総数","大阪府","男","4203838"
"全域","1980年","総数","兵庫県","男","2512358"
"全域","1980年","総数","奈良県","男","587067"
"全域","1980年","総数","和歌山県","男","523467"
"全域","1980年","総数","鳥取県","男","289946"
"全域","1980年","総数","島根県","男","377499"
"全域","1980年","総数","岡山県","男","905477"
"全域","1980年","総数","広島県","男","1336806"
"全域","1980年","総数","山口県","男","759255"
"全域","1980年","総数","徳島県","男","395994"
"全域","1980年","総数","香川県","男","481104"
"全域","1980年","総数","愛媛県","男","718517"
"全域","1980年","総数","高知県","男","396418"
"全域","1980年","総数","福岡県","男","2200450"
"全域","1980年","総数","佐賀県","男","410912"
"全域","1980年","総数","長崎県","男","758374"
"全域","1980年","総数","熊本県","男","850831"
"全域","1980年","総数","大分県","男","583097"
"全域","1980年","総数","宮崎県","男","550207"
"全域","1980年","総数","鹿児島県","男","839392"
"全域","1980年","総数","沖縄県","男","543692"
"全域","1980年","０－４歳","全国","男","4366100"
"全域","1980年","０－４歳","全国市部","男","3355204"
"全域","1980年","０－４歳","全国郡部","男","1010896"
"全域","1980年","０－４歳","北海道","男","208437"
"全域","1980年","０－４歳","青森県","男","57449"
"全域","1980年","０－４歳","岩手県","男","52658"
"全域","1980年","０－４歳","宮城県","男","82342"
"全域","1980年","０－４歳","秋田県","男","44173"
"全域","1980年","０－４歳","山形県","男","44631"
"全域","1980年","０－４歳","福島県","男","78368"
"全域","1980年","０－４歳","茨城県","男","100988"
"全域","1980年","０－４歳","栃木県","男","71555"
"全域","1980年","０－４歳","群馬県","男","70504"
"全域","1980年","０－４歳","埼玉県","男","223321"
"全域","1980年","０－４歳","千葉県","男","191960"
"全域","1980年","０－４歳","東京都","男","366318"
"全域","1980年","０－４歳","神奈川県","男","266256"
"全域","1980年","０－４歳","新潟県","男","90182"
"全域","1980年","０－４歳","富山県","男","39442"
"全域","1980年","０－４歳","石川県","男","42662"
"全域","1980年","０－４歳","福井県","男","29330"
"全域","1980年","０－４歳","山梨県","男","28032"
"全域","1980年","０－４歳","長野県","男","75757"
"全域","1980年","０－４歳","岐阜県","男","73315"
"全域","1980年","０－４歳","静岡県","男","133130"
"全域","1980年","０－４歳","愛知県","男","244535"
"全域","1980年","０－４歳","三重県","男","60041"
"全域","1980年","０－４歳","滋賀県","男","44580"
"全域","1980年","０－４歳","京都府","男","91674"
"全域","1980年","０－４歳","大阪府","男","313948"
"全域","1980年","０－４歳","兵庫県","男","192927"
"全域","1980年","０－４歳","奈良県","男","45208"
"全域","1980年","０－４歳","和歌山県","男","37639"
"全域","1980年","０－４歳","鳥取県","男","21890"
"全域","1980年","０－４歳","島根県","男","27385"
"全域","1980年","０－４歳","岡山県","男","68042"
"全域","1980年","０－４歳","広島県","男","103278"
"全域","1980年","０－４歳","山口県","男","55650"
"全域","1980年","０－４歳","徳島県","男","28357"
"全域","1980年","０－４歳","香川県","男","36242"
"全域","1980年","０－４歳","愛媛県","男","54467"
"全域","1980年","０－４歳","高知県","男","27802"
"全域","1980年","０－４歳","福岡県","男","174058"
"全域","1980年","０－４歳","佐賀県","男","33192"
"全域","1980年","０－４歳","長崎県","男","60532"
"全域","1980年","０－４歳","熊本県","男","64702"
"全域","1980年","０－４歳","大分県","男","45238"
"全域","1980年","０－４歳","宮崎県","男","46332"
"全域","1980年","０－４歳","鹿児島県","男","64270"
"全域","1980年","０－４歳","沖縄県","男","53301"
"全域","1980年","５－９歳","全国","男","5142487"
"全域","1980年","５－９歳","全国市部","男","3976752"
"全域","1980年","５－９歳","全国郡部","男","1165735"
"全域","1980年","５－９歳","北海道","男","238711"
"全域","1980年","５－９歳","青森県","男","65182"
"全域","1980年","５－９歳","岩手県","男","57897"
"全域","1980年","５－９歳","宮城県","男","87023"
"全域","1980年","５－９歳","秋田県","男","45957"
"全域","1980年","５－９歳","山形県","男","46165"
"全域","1980年","５－９歳","福島県","男","83241"
"全域","1980年","５－９歳","茨城県","男","118472"
"全域","1980年","５－９歳","栃木県","男","81598"
"全域","1980年","５－９歳","群馬県","男","82668"
"全域","1980年","５－９歳","埼玉県","男","284427"
"全域","1980年","５－９歳","千葉県","男","236223"
"全域","1980年","５－９歳","東京都","男","443461"
"全域","1980年","５－９歳","神奈川県","男","325023"
"全域","1980年","５－９歳","新潟県","男","98392"
"全域","1980年","５－９歳","富山県","男","47655"
"全域","1980年","５－９歳","石川県","男","50907"
"全域","1980年","５－９歳","福井県","男","33748"
"全域","1980年","５－９歳","山梨県","男","32825"
"全域","1980年","５－９歳","長野県","男","86393"
"全域","1980年","５－９歳","岐阜県","男","88814"
"全域","1980年","５－９歳","静岡県","男","155755"
"全域","1980年","５－９歳","愛知県","男","297397"
"全域","1980年","５－９歳","三重県","男","72652"
"全域","1980年","５－９歳","滋賀県","男","50197"
